STN	PUNO	PAMPAHUTA	AYAVIRI	PROGRESO	CABANILLAS	ARAPA	HUANCANE	HUARAYA MOHO	CAPACHICA	PUCARA	TARACO	LIMBANI	COJATA	MAZO CRUZ	ILAVE	JULI	PIZACOMA	TAHUACO - YUNGUYO	DESAGUADERO	LARAQUERI	CRUCERO	PUTINA	CUYO CUYO	TAMBOPATA	SANTA ROSA	LLALLY	MACUSANI	MAAZO	JULIACA	SANTA LUCIA	CRUCERO ALTO	AZANGARO	JARPANA	LAGUNILLAS	PARATIA	QUILLISANI
LAT	-15.823	-15.484	-14.881	-14.69	-15.639	-15.136	-15.202	-15.388	-15.606	-15.046	-15.312	-14.154	-15.017	-16.739	-16.068	-16.204	-16.907	-16.308	-16.569	-16.153	-14.363	-14.915	-14.489	-15.217	-14.624	-14.937	-14.07	-14.8	-15.474	-15.694	-15.767	-14.917	-15.517	-15.768	-15.45	-15.384
LON	-70.018	-70.676	-70.593	-70.024	-70.346	-70.118	-69.754	-69.484	-69.832	-70.367	-69.972	-69.706	-69.356	-69.715	-69.662	-69.46	-69.369	-69.075	-69.04	-70.068	-70.024	-69.868	-69.549	-69.157	-70.787	-70.886	-70.439	-70.067	-70.169	-70.599	-70.917	-70.184	-70.784	-70.661	-70.6	-70.75
1960-9-11	3.4615384615384617	2.9769230769230766	2.2065934065934067	2.4725274725274726	3.3626373626373627	4.102197802197803	2.901098901098901	3.7615384615384615	3.9923076923076923	2.1406593406593406	2.132967032967033	4.163736263736263	1.9604395604395606	1.2109890109890111	2.4703296703296704	2.2626373626373626	1.4692307692307691	2.8582417582417583	2.7758241758241757	1.7494505494505492	1.2934065934065935	2.7703296703296703	1.6736263736263737	6.103296703296703	1.5615384615384615	2.4483516483516485	0.9846153846153846	2.854945054945055	3.550549450549451	1.9824175824175825	0.8989010989010988	2.4956043956043956	2.7131868131868133	2.0956043956043953	2.781318681318681	2.352747252747253
1961-9-11	1.3373626373626375	2.2505494505494505	1.7065934065934067	1.1076923076923078	1.1989010989010989	1.6252747252747253	0.9296703296703298	2.3461538461538463	2.123076923076923	1.045054945054945	0.967032967032967	1.7	1.7164835164835164	0.2846153846153846	0.9978021978021978	1.4505494505494505	0.4483516483516484	1.5076923076923077	1.6461538461538463	1.121978021978022	0.721978021978022	0.8087912087912087	0.7956043956043957	2.7153846153846155	1.5538461538461539	1.7857142857142858	0.8846153846153846	1.6406593406593408	1.5131868131868134	0.5912087912087912	0.5208791208791209	0.9527472527472528	1.6384615384615384	0.9945054945054945	1.3296703296703296	1.4516483516483516
1962-9-11	0.6329670329670329	1.7956043956043957	0.6307692307692307	1.2	0.9142857142857144	1.4604395604395606	0.9054945054945056	1.6813186813186813	1.1109890109890108	0.7648351648351648	0.7813186813186812	1.9934065934065934	2.0813186813186815	0.11648351648351649	0.42417582417582417	1.132967032967033	0.061538461538461535	0.643956043956044	1.1747252747252748	1.2098901098901098	0.5846153846153846	1.1494505494505494	0.6472527472527473	3.2351648351648348	0.9043956043956044	1.4032967032967034	0.6681318681318681	2.49010989010989	0.8780219780219781	1.1593406593406594	0.32307692307692304	1.043956043956044	1.2175824175824175	0.7516483516483515	1.5307692307692309	1.6736263736263737
1963-9-11	0.6681318681318681	2.0945054945054946	0.6824175824175824	0.9153846153846154	0.8945054945054945	0.9923076923076922	1.3175824175824176	1.8890109890109892	1.7659340659340659	1.146153846153846	0.8659340659340659	3.156043956043956	2.5087912087912088	0.5351648351648352	0.6461538461538461	1.0186813186813186	0.23626373626373626	1.5395604395604394	1.1615384615384616	0.6131868131868131	0.6318681318681318	1.4846153846153844	1.6186813186813187	2.1285714285714286	1.546153846153846	1.097802197802198	0.6296703296703297	1.2098901098901098	0.7120879120879121	1.2098901098901098	0.7087912087912088	0.8824175824175824	0.8901098901098901	0.7582417582417582	1.1802197802197802	1.6087912087912088
1964-9-11	0.9703296703296703	0.7868131868131868	0.7582417582417582	2.065934065934066	1.0021978021978022	1.1615384615384616	0.6329670329670329	0.9582417582417583	1.3824175824175824	0.6428571428571429	0.7428571428571428	2.0725274725274723	1.3483516483516484	0.31098901098901094	1.079120879120879	0.5076923076923078	0.0967032967032967	1.2571428571428571	0.6340659340659341	0.6395604395604396	0.6087912087912087	1.1945054945054945	1.4637362637362636	3.9175824175824174	1.034065934065934	1.2736263736263738	0.7494505494505495	0.8450549450549452	0.7043956043956043	0.9659340659340659	0.5989010989010989	0.6857142857142857	1.4824175824175825	0.8307692307692307	1.3208791208791208	1.1857142857142857
1965-9-11	0.9857142857142858	1.7186813186813188	0.7296703296703297	1.7395604395604396	1.020879120879121	1.0648351648351648	1.2934065934065935	0.9197802197802198	0.7296703296703297	1.4912087912087915	0.9934065934065934	2.424175824175824	1.176923076923077	0.3252747252747253	0.6857142857142857	1.1857142857142857	0.22417582417582416	2.4384615384615387	1.5054945054945055	0.9461538461538461	0.6604395604395604	1.2307692307692308	1.920879120879121	5.652747252747252	0.47472527472527476	1.086813186813187	0.7483516483516482	0.35824175824175825	0.489010989010989	0.2285714285714286	0.34065934065934067	0.6923076923076923	0.5813186813186813	0.2032967032967033	1.413186813186813	1.3164835164835167
1966-9-11	1.245054945054945	1.8835164835164833	1.3010989010989011	2.4813186813186814	0.9868131868131867	1.2054945054945054	1.2428571428571429	1.4527472527472527	1.1439560439560439	1.3494505494505493	0.8087912087912087	2.6736263736263735	0.59010989010989	0.6857142857142857	0.39230769230769225	1.0934065934065933	0.6285714285714286	1.3648351648351649	0.9637362637362638	1.3461538461538463	1.3483516483516484	1.4736263736263735	1.5967032967032968	3.723076923076923	2.6483516483516483	2.38021978021978	1.7120879120879122	0.9626373626373625	0.976923076923077	0.5439560439560439	1.6384615384615384	1.8373626373626373	2.586813186813187	1.9175824175824177	2.3043956043956046	2.465934065934066
1967-9-11	1.4494505494505494	1.4175824175824177	1.565934065934066	2.0032967032967033	0.9802197802197803	1.7472527472527473	1.2351648351648352	1.59010989010989	0.6934065934065934	1.402197802197802	1.443956043956044	2.568131868131868	0.9087912087912088	0.3076923076923077	0.7131868131868132	0.5681318681318681	0.7131868131868132	1.4835164835164836	1.0406593406593407	0.6648351648351648	1.120879120879121	1.842857142857143	1.6296703296703299	5.14945054945055	1.0813186813186815	1.2384615384615385	0.9219780219780219	0.610989010989011	1.408791208791209	0.42637362637362636	0.43956043956043955	1.0824175824175823	1.579120879120879	0.9285714285714286	1.6989010989010989	1.6054945054945053
