STN	PUNO	PAMPAHUTA	AYAVIRI
LAT	-15.823	-15.484	-14.881
LON	-70.018	-70.676	-70.593
1960-9/11	3.4615384615384617	2.9769230769230766	2.2065934065934067
1961-9/11	1.3373626373626375	2.2505494505494505	1.7065934065934067
1962-9/11	0.6329670329670329	1.7956043956043957	0.6307692307692307
1963-9/11	0.6681318681318681	2.0945054945054946	0.6824175824175824
1964-9/11	0.9703296703296703	0.7868131868131868	0.7582417582417582
1965-9/11	0.9857142857142858	1.7186813186813188	0.7296703296703297
1966-9/11	1.245054945054945	1.8835164835164833	1.3010989010989011
1967-9/11	1.4494505494505494	1.4175824175824177	1.565934065934066
1968-9/11	1.7615384615384617	2.8010989010989014	1.2538461538461538
1969-9/11	0.8934065934065933	1.6296703296703299	0.7494505494505495
1970-9/11	0.47472527472527476	0.8901098901098901	0.8362637362637362
1971-9/11	1.1417582417582417	0.7494505494505495	0.5934065934065934
1972-9/11	1.4692307692307693	1.6274725274725275	0.610989010989011
1973-9/11	0.978021978021978	2.1043956043956045	1.9582417582417582
1974-9/11	0.8395604395604396	0.8021978021978022	0.7999999999999999
1975-9/11	1.4967032967032965	1.010989010989011	1.5999999999999999
1976-9/11	0.8835164835164836	0.7428571428571428	0.19230769230769232
1977-9/11	1.48021978021978	2.3197802197802195	0.40879120879120884
1978-9/11	2.1307692307692307	2.1725274725274724	1.6901098901098903
1979-9/11	1.0692307692307692	1.910989010989011	0.867032967032967
1980-9/11	1.9692307692307691	1.8648351648351646	1.4494505494505494
1981-9/11	1.0769230769230769	1.254945054945055	1.5747252747252745
1982-9/11	3.0340659340659344	3.1087912087912084	3.0538461538461537
1983-9/11	1.2296703296703295	0.5802197802197802	0.5307692307692308
1984-9/11	1.8560439560439561	3.234065934065934	3.8736263736263736
1985-9/11	2.245054945054945	2.242857142857143	2.21978021978022
1986-9/11	0.6593406593406593	0.921978021978022	0.49010989010989003
1987-9/11	1.9120879120879122	1.3340659340659342	0.8989010989010988
1988-9/11	1.7098901098901098	0.4340659340659341	0.4824175824175824
1989-9/11	0.6802197802197802	0.7010989010989012	0.7835164835164835
1990-9/11	2.2483516483516484	2.354945054945055	1.6780219780219778
1991-9/11	0.8461538461538461	0.8703296703296703	1.0
1992-9/11	0.7010989010989012	0.9373626373626374	1.1736263736263737
1993-9/11	1.8274725274725276	2.2551648351648352	1.987912087912088
1994-9/11	1.1813186813186813	1.497802197802198	0.8659340659340659
1995-9/11	0.9736263736263737	1.034065934065934	0.7857142857142857
1996-9/11	1.0934065934065933	1.2637362637362637	0.8087912087912087
1997-9/11	2.2120879120879122	1.8505494505494506	2.0604395604395602
1998-9/11	0.8274725274725274	1.4956043956043956	1.3417582417582417
1999-9/11	1.8239560439560438	1.6626373626373627	0.9417582417582417
2000-9/11	1.365934065934066	1.1505494505494507	1.3010989010989011
2001-9/11	1.6670329670329669	0.7835164835164835	0.7417582417582418
2002-9/11	1.332967032967033	1.975824175824176	2.0564835164835165
2003-9/11	0.8450549450549452	0.6846153846153846	0.7648351648351649
2004-9/11	0.6476923076923078	0.6864835164835165	1.5813186813186815
2005-9/11	1.4483516483516485	1.3503296703296703	2.0065934065934066
2006-9/11	1.2351648351648352	2.0703296703296705	1.7714285714285714
2007-9/11	1.697912087912088	1.0802197802197802	1.2153846153846153
2008-9/11	1.107032967032967	0.8637362637362637	0.9835164835164835
2009-9/11	1.7769230769230768	1.7175824175824177	1.6659340659340658
2010-9/11	0.5637362637362637	0.7956043956043957	0.6241758241758242
2011-9/11	1.3186813186813187	0.7835164835164835	1.5153846153846156
2012-9/11	0.6132967032967033	1.342857142857143	0.8153846153846154
2013-9/11	1.5879120879120878	1.4085714285714286	1.4735164835164836
2014-9/11	1.5593406593406594	1.7021978021978024	1.942857142857143
2015-9/11	1.30989010989011	1.5406593406593405	1.1307692307692307
